Agent,Concentration,Dye1,Dye2,Dye3,Dye4,Dye5,Dye6,Dye7,Dye8,Dye9,Dye10,Dye11,Dye12,Dye13,Dye14,Dye15,Dye16,Dye17,Dye18,Dye19,Dye20,Dye21,Dye22,Dye23,Dye24,Dye25,Dye26,Dye27,Dye28,Dye29
DMMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMMP,10,0.768393965,0.757374819,3.635761958,0.254893479,3.902966464,2.46946362,0.508914099,0.84502301,1.498000167,0.741891787,0.276780899,0.62215808,3.724231524,0.288858268,0.501152125,0.499878113,0.857475207,1.052867831,0,1.548490206,0.507451219,0.246734391,0,0.499295432,0.499295432,0.482095934,0.520932205,0.605868932,0.298832528
DMMP,100,0.254893479,0.503711358,3.582608547,0.506124184,1.792918827,0.758149893,0.255071026,1.42228134,0.6181974,1.880319399,1.087756867,1.230112395,1.651361749,0,1.795397627,1.513173263,2.652552793,3.098339983,0.336731911,3.285045881,0,0.743677423,0.24905906,0.251428812,0.251428812,1.177539244,0.520932205,0.746427881,0.591997758
DMMP,50,0.511021376,0.757374819,3.872778825,0,2.950921602,1.445341159,0.513866851,1.9839315,0.706807318,1.219264816,1.087756867,1.946527402,2.244429993,0.707553308,1.087814045,0,2.326071085,1.080085449,0.113936254,0.248848686,0.466764421,0.494623779,0.499295432,0.250238215,0.250238215,1.040383858,0.262409268,0.247642493,0.892591972
DMMP,500,0.506124184,0.251256356,3.150026526,1.133941461,2.420171749,1.228120063,0.255071026,1.195041111,0.975604742,1.5271593,0.847124196,1.394779097,1.736732595,0.696707241,1.018633856,2.762104497,2.524210283,1.311228384,1.350586319,2.286302856,0.442434944,0,0.24905906,0,0,0.512630811,1.300309253,0.605868932,0.567596376
GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,10,0.772140242,0.508560734,6.035291145,0.254893479,3.268926705,1.386170595,1.241105461,0.574663001,0.764716469,0.712844294,0.15785177,3.157429421,0.608356398,0,0.252860315,1.67612062,1.183686275,0.739116225,0.365105733,0.809495099,0.18732117,0,1.141844856,1.358819164,1.141844856,0.295729168,1.166461039,1.251211142,0.836733409
GA,100,0.254893479,0.252456899,3.921737007,0.506124184,1.27855667,0,1.152441182,1.213069816,1.484112741,2.117203783,1.26443915,3.339398859,0.914547905,3.172944892,1.289662924,3.201420955,2.550197832,7.252442101,0.521016528,2.581598492,0.150938239,1.143135744,1.352966001,0.504057937,1.510275795,1.218211356,0.262689342,0.252631026,0.43797238
GA,50,0.256129886,0.253669213,5.226170439,0.253669213,2.486929364,0.860202398,1.335742848,1.21954577,0.988539628,1.211360443,1.085448801,3.353795435,1.218269367,2.285400731,0.793952822,1.953747732,2.15332618,2.155521397,0.473807452,0.248167286,0.558163104,0,1.690679058,0.250238215,0.56033744,1.055437675,1.058681729,1.251211142,1.091381336
GA,500,0.508560734,0.503711358,5.411846381,0,2.182943121,0.494358384,0,0.607157086,1.10138935,1.376598055,1.102787216,3.66160812,1.218269367,5.890174211,0.500836393,7.521083985,6.341951855,13.79857075,1.400774753,0.989767341,0.588837115,0.489712887,1.352966001,0.499295432,1.352966001,0.990869251,1.299601221,1.180627305,1.095715033
