filename,light,dye,agent,conc,R,G,B,L,a,b,DeltaE
1A0.jpg,Normal,1,A,0,193,194,196,78.40716378487276,0.023631037938065536,-1.119927594967951,0.0
1A10.jpg,Normal,1,A,10,197,198,200,79.85708826585085,0.02343409150401543,-1.1156133039390337,1.0125804869008481
1A50.jpg,Normal,1,A,50,193,194,196,78.40716378487276,0.023631037938065536,-1.119927594967951,0.0
1A100.jpg,Normal,1,A,100,188,189,191,76.58688421328068,0.02388519789064958,-1.1254604414201008,1.293644244799392
1A500.jpg,Normal,1,A,500,188,189,191,76.58688421328068,0.02388519789064958,-1.1254604414201008,1.293644244799392
1B0.jpg,Normal,1,B,0,192,193,195,78.0438145322781,0.02368114480333361,-1.121021502218933,0.0
1B10.jpg,Normal,1,B,10,191,192,194,77.68011400716546,0.023731609273935916,-1.1221216732259398,0.25746233004840224
1B50.jpg,Normal,1,B,50,177,177,179,72.25925367707019,0.37472983545500105,-1.0156214197141855,4.2514447845593395
1B100.jpg,Normal,1,B,100,177,178,180,72.5502349711595,0.024478592183407866,-1.1382211277373377,3.9992579398295436
1B500.jpg,Normal,1,B,500,165,165,163,67.69058913595205,-0.3792581543510809,1.0370792343451951,8.053227321279778
1C0.jpg,Normal,1,C,0,191,191,193,77.39322922225615,0.36920275520840873,-1.0011417279666146,0.0
1C10.jpg,Normal,1,C,10,187,188,190,76.22175790336516,0.023937142836161218,-1.126586345374303,0.9918705895128366
1C50.jpg,Normal,1,C,50,172,172,174,70.40766761850178,0.37682370908170837,-1.021099737151232,5.165388599857142
1C100.jpg,Normal,1,C,100,169,169,171,69.29194963117425,0.3781130286121259,-1.0244710134226676,6.028310105859508
1C500.jpg,Normal,1,C,500,157,157,155,64.68270298460656,-0.38256293124799834,1.0464828456232311,9.982150693992525
1D0.jpg,Normal,1,D,0,186,186,186,75.51479273287357,-0.001936751117370683,0.0036711799345612306,0.0
1D10.jpg,Normal,1,D,10,187,189,188,76.43044873267259,-0.8830998566387027,0.2635395208983038,1.465122953625194
1D50.jpg,Normal,1,D,50,169,169,169,69.23779560557699,-0.0018039094112909382,0.003419373803414949,4.722617292645287
1D100.jpg,Normal,1,D,100,165,165,165,67.74421637835061,-0.001772300409597083,0.0033594578277895693,5.896975631205148
1D500.jpg,Normal,1,D,500,160,159,155,65.46468003537836,-0.3935956700107379,2.2131521123541775,8.029133405697412
2A0.jpg,Normal,2,A,0,180,181,183,73.65562253860602,0.024311795127685,-1.1346568223694176,0.0
2A10.jpg,Normal,2,A,10,195,196,198,79.13281655389963,0.02353187784104316,-1.1177583098429755,3.9394691336506367
2A50.jpg,Normal,2,A,50,200,201,203,80.94094043436183,0.023289909171220202,-1.1124402320881632,5.188692576957
2A100.jpg,Normal,2,A,100,188,189,191,76.58688421328068,0.02388519789064958,-1.1254604414201008,2.1380862143675667
2A500.jpg,Normal,2,A,500,192,193,195,78.0438145322781,0.02368114480333361,-1.121021502218933,3.175113053931045
2B0.jpg,Normal,2,B,0,165,165,167,67.79861874030232,0.379872536829029,-1.0290691537955698,0.0
2B10.jpg,Normal,2,B,10,187,188,190,76.22175790336516,0.023937142836161218,-1.126586345374303,6.386871698461043
2B50.jpg,Normal,2,B,50,194,195,197,78.7701637906253,0.023581283859985813,-1.1188398857504556,8.187153637443139
2B100.jpg,Normal,2,B,100,186,187,189,75.85626986104174,0.023989470902763266,-1.1277188574089214,6.124593875665013
2B500.jpg,Normal,2,B,500,191,192,194,77.68011400716546,0.023731609273935916,-1.1221216732259398,7.423202395773353
2C0.jpg,Normal,2,C,0,162,162,162,66.61965165769043,-0.0017485009569107035,0.0033143451272810154,0.0
2C10.jpg,Normal,2,C,10,180,181,183,73.65562253860602,0.024311795127685,-1.1346568223694176,5.545986810102901
2C50.jpg,Normal,2,C,50,190,191,193,77.31606016221593,0.023782436259778272,-1.1232281747305617,8.160026725862583
2C100.jpg,Normal,2,C,100,186,187,189,75.85626986104174,0.023989470902763266,-1.1277188574089214,7.127529004487322
2C500.jpg,Normal,2,C,500,189,189,189,76.61119593527346,-0.0019599545806325835,0.003715162916106962,7.583674575349456
2D0.jpg,Normal,2,D,0,160,160,160,65.86781342007546,-0.0017325896107811545,0.003284184610397034,0.0
2D10.jpg,Normal,2,D,10,176,178,177,72.39205758988918,-0.8928815195027306,0.2663689797612001,5.267886866123505
2D50.jpg,Normal,2,D,50,189,190,192,76.95165092812964,0.02383363076507994,-1.124341074514268,8.50438516976652
2D100.jpg,Normal,2,D,100,187,188,190,76.22175790336516,0.023937142836161218,-1.126586345374303,7.987642967101685
2D500.jpg,Normal,2,D,500,191,191,191,77.34033035450727,-0.0019753854401116655,0.003744412653428064,8.70889400355342
3A0.jpg,Normal,3,A,0,197,163,147,69.59248770587139,10.05089422146338,13.000355672857488,0.0
3A10.jpg,Normal,3,A,10,191,146,127,64.29697787379725,14.297640274722523,16.6313440068665,5.468893664569986
3A50.jpg,Normal,3,A,50,192,149,132,65.25451333945942,13.695932491436691,15.181552076834869,4.527782455630733
3A100.jpg,Normal,3,A,100,194,148,132,65.21342590162175,15.035846132569919,15.155627863582355,5.230192702039526
3A500.jpg,Normal,3,A,500,195,150,133,65.83435512517426,14.461202888320091,15.477303751426795,4.576357683641871
3B0.jpg,Normal,3,B,0,190,153,137,66.16491183224778,11.389790070519656,13.63362181822052,0.0
3B10.jpg,Normal,3,B,10,186,139,121,61.90079119789313,15.408376384626276,16.60632847338972,4.668133853710406
3B50.jpg,Normal,3,B,50,184,139,122,61.70810496759826,14.736211873720762,15.742677809415051,4.499833693872518
3B100.jpg,Normal,3,B,100,185,136,119,61.00725400467965,16.422025091771985,16.48522605037188,5.662503818791057
3B500.jpg,Normal,3,B,500,190,144,127,63.694937343364785,15.005310742409018,15.781169177373089,3.3952123124673523
3C0.jpg,Normal,3,C,0,194,158,142,67.9303591070158,10.908817687351746,13.387933182208055,0.0
3C10.jpg,Normal,3,C,10,182,134,116,60.1211655032711,15.952547171525055,16.910719291676358,7.521150433359663
3C50.jpg,Normal,3,C,50,185,143,125,62.87865172124016,13.306406468204079,15.69170926912582,4.59504598845946
3C100.jpg,Normal,3,C,100,187,141,123,62.54683209763934,14.954143769354166,16.38930229397504,5.403577407826252
3C500.jpg,Normal,3,C,500,185,139,123,61.83618255629577,15.266082171549067,15.372155616698958,6.01155749649883
3D0.jpg,Normal,3,D,0,185,142,123,62.58530363415768,13.599130320574748,16.409690456160696,0.0
3D10.jpg,Normal,3,D,10,176,125,105,56.99649485482577,17.213662570139952,18.783958439850366,5.497309976877981
3D50.jpg,Normal,3,D,50,177,128,111,57.975221980004804,16.663634604146992,16.714983692407536,4.641558631900148
3D100.jpg,Normal,3,D,100,178,125,108,57.28604411615839,18.386326655281614,17.50200771639905,5.717479802077641
3D500.jpg,Normal,3,D,500,184,117,98,55.884052945946294,24.16641222134247,21.447129081879048,8.607222478159139
4A0.jpg,Normal,4,A,0,191,192,194,77.68011400716546,0.023731609273935916,-1.1221216732259398,0.0
4A10.jpg,Normal,4,A,10,195,196,198,79.13281655389963,0.02353187784104316,-1.1177583098429755,1.0223813398047406
4A50.jpg,Normal,4,A,50,194,195,197,78.7701637906253,0.023581283859985813,-1.1188398857504556,0.7686426801033724
4A100.jpg,Normal,4,A,100,193,194,196,78.40716378487276,0.023631037938065536,-1.119927594967951,0.5136730953963474
4A500.jpg,Normal,4,A,500,194,195,197,78.7701637906253,0.023581283859985813,-1.1188398857504556,0.7686426801033724
4B0.jpg,Normal,4,B,0,188,188,190,76.29915050404516,0.37034796563539807,-1.0041440965699033,0.0
4B10.jpg,Normal,4,B,10,187,187,189,75.93373784471947,0.37073427241191004,-1.0051566155151903,0.263623778892617
4B50.jpg,Normal,4,B,50,188,189,191,76.58688421328068,0.02388519789064958,-1.1254604414201008,0.5690759380559514
4B100.jpg,Normal,4,B,100,185,186,188,75.49041792556481,0.02404218749524345,-1.1288580496848333,0.7897639901842896
4B500.jpg,Normal,4,B,500,181,181,183,73.73355228317993,0.37310192696643485,-1.0113594638595291,1.8735514196638228
4C0.jpg,Normal,4,C,0,185,185,187,75.20181999441051,0.3715138951356223,-1.0071996334630073,0.0
4C10.jpg,Normal,4,C,10,177,177,177,72.20557671402477,-0.0018667173269371062,0.003538428418847772,2.489856367505883
4C50.jpg,Normal,4,C,50,183,183,185,74.46843078279966,0.37230304044155726,-1.0092670674711313,0.5366453999375179
4C100.jpg,Normal,4,C,100,174,174,174,71.0956280162427,-0.0018432271968182867,0.0034939020502999796,3.262820227852817
4C500.jpg,Normal,4,C,500,173,173,173,70.72486009431617,-0.0018353805399384804,0.00347902843571557,3.5302965571711633
4D0.jpg,Normal,4,D,0,186,186,188,75.56796173475493,0.3711229068361632,-1.0061751059450508,0.0
4D10.jpg,Normal,4,D,10,178,178,178,72.574782831502,-0.0018745309310341796,0.0035532393805493,2.4791537597880766
4D50.jpg,Normal,4,D,50,183,183,185,74.46843078279966,0.37230304044155726,-1.0092670674711313,0.8029260030945448
4D100.jpg,Normal,4,D,100,178,178,178,72.574782831502,-0.0018745309310341796,0.0035532393805493,2.4791537597880766
4D500.jpg,Normal,4,D,500,176,176,174,71.78297020406009,-0.3749892685201983,1.0249526499638284,3.619430902473506
5A0.jpg,Normal,5,A,0,215,31,158,49.37383603169512,75.52636313489292,-22.928667989319628,0.0
5A10.jpg,Normal,5,A,10,215,31,161,49.50086183053938,75.87400510491332,-24.517708170315355,0.5644002900607515
5A50.jpg,Normal,5,A,50,209,25,153,47.69306161326892,74.71385613427867,-22.62475211248716,1.6803500801942257
5A100.jpg,Normal,5,A,100,211,0,159,47.43765877843405,78.41868721501166,-26.582186814377252,2.2979823807078965
5A500.jpg,Normal,5,A,500,220,31,170,50.8059514851886,77.98413657485281,-27.750824929539107,2.1616832048128463
5B0.jpg,Normal,5,B,0,200,19,136,44.978008488742326,71.81478011638647,-16.658903896560282,0.0
5B10.jpg,Normal,5,B,10,203,30,144,46.50125231656413,71.51363841218755,-19.13497445369956,1.7431539501169377
5B50.jpg,Normal,5,B,50,196,18,136,44.159818146815255,71.09481410798374,-17.978772456005544,0.956096087388206
5B100.jpg,Normal,5,B,100,208,0,152,46.552360612647355,77.05296763254582,-23.801779354222475,2.990767297261038
5B500.jpg,Normal,5,B,500,211,22,158,48.127282360974675,76.15462222080276,-24.91518865924558,4.224791629711163
5C0.jpg,Normal,5,C,0,194,17,126,43.329952149226564,69.73757175900069,-13.141272598769604,0.0
5C10.jpg,Normal,5,C,10,199,32,137,45.61296302351265,69.42496103499401,-16.315788901455175,2.4832949955108026
5C50.jpg,Normal,5,C,50,195,19,142,44.26711714591066,71.41601498715056,-21.48709355219871,3.2274116327320757
5C100.jpg,Normal,5,C,100,213,2,166,48.19225688348733,79.44459734307779,-29.550063665176562,7.4209961982387025
5C500.jpg,Normal,5,C,500,200,180,189,75.19973455879531,8.698303354764182,-1.9552345291765638,36.02320250778293
5D0.jpg,Normal,5,D,0,190,16,122,42.34731463870091,68.58241970431317,-12.232228961860159,0.0
5D10.jpg,Normal,5,D,10,197,29,135,44.94369271464531,69.36768491333423,-16.1526363872861,2.841201191479072
5D50.jpg,Normal,5,D,50,189,15,131,42.463455280471834,69.44608462644297,-17.63107289980219,2.0725972422029018
5D100.jpg,Normal,5,D,100,210,0,159,47.24664939890108,78.22756635567724,-26.89376895788427,7.045991773582071
5D500.jpg,Normal,5,D,500,191,185,185,75.62353330021917,2.105789203344699,0.7538145571944321,39.609576286599996
6A0.jpg,Normal,6,A,0,4,24,110,14.425112521506183,30.139233248794696,-50.67052405168454,0.0
6A10.jpg,Normal,6,A,10,6,24,117,15.359545371012707,32.91994144875498,-53.65959182247991,1.195480386878126
6A50.jpg,Normal,6,A,50,8,26,115,15.631746942977301,30.99032463597984,-51.91491042999947,0.8841797198486561
6A100.jpg,Normal,6,A,100,6,26,112,15.205695730388793,29.71885150686812,-50.67781931424624,0.5679165578229808
6A500.jpg,Normal,6,A,500,4,27,121,16.45199214758496,32.45454519531313,-54.42363409967743,1.7706745740629026
6B0.jpg,Normal,6,B,0,5,20,93,11.432174512856488,26.12073986125997,-44.38207590077406,0.0
6B10.jpg,Normal,6,B,10,3,16,97,10.940037199729655,30.149961383535526,-47.87711262220806,1.5786881993045185
6B50.jpg,Normal,6,B,50,1,15,105,11.740066922827605,33.59355070050766,-51.853804542481626,2.8513243425668127
6B100.jpg,Normal,6,B,100,7,23,101,13.212656190782965,27.43144376995876,-46.76418512145427,1.4084123839638985
6B500.jpg,Normal,6,B,500,2,18,105,12.383681121468417,31.895607473739304,-50.782922185980375,2.37575841889647
6C0.jpg,Normal,6,C,0,8,21,92,11.690960635589214,25.24819616832817,-43.27860300664535,0.0
6C10.jpg,Normal,6,C,10,9,24,104,13.887418964577957,28.074159017335344,-47.625066288381404,2.0477613292412786
6C50.jpg,Normal,6,C,50,3,19,105,12.637065581179606,31.337525267506425,-50.361094716241126,2.5788308769657897
6C100.jpg,Normal,6,C,100,8,22,95,12.295021704319055,25.77288785260233,-44.29097697550014,0.5307560257508205
6C500.jpg,Normal,6,C,500,6,24,108,14.254693006286363,29.46929935577644,-49.644611957901084,2.701603919560397
6D0.jpg,Normal,6,D,0,9,21,93,11.853226606620659,25.72403513901496,-43.68044885623721,0.0
6D10.jpg,Normal,6,D,10,10,25,105,14.283371049461191,27.8598457022268,-47.6268199456012,2.0830616998197518
6D50.jpg,Normal,6,D,50,3,18,103,12.161226583901126,31.195580140723433,-49.832575132172174,2.2261581903224053
6D100.jpg,Normal,6,D,100,10,23,96,12.743938139213476,25.629165197898583,-44.21449633962736,0.657853118553103
6D500.jpg,Normal,6,D,500,7,26,112,15.240147471167848,29.773588368962017,-50.61973634858622,3.2005023411675837
7A0.jpg,Normal,7,A,0,195,196,198,79.13281655389963,0.02353187784104316,-1.1177583098429755,0.0
7A10.jpg,Normal,7,A,10,197,198,197,79.77839859785472,-0.5306215973926443,0.38205464324547744,1.740639214807747
7A50.jpg,Normal,7,A,50,198,199,199,80.16614429871127,-0.34647067453258407,-0.11730718400055906,1.3279462120798875
7A100.jpg,Normal,7,A,100,197,198,200,79.85708826585085,0.02343409150401543,-1.1156133039390337,0.5038717397377711
7A500.jpg,Normal,7,A,500,198,198,186,79.5792787793372,-2.141607467024742,6.013464116771372,7.023031210068734
7B0.jpg,Normal,7,B,0,195,195,197,78.84704071408561,0.3677068758618507,-0.9972183664065826,0.0
7B10.jpg,Normal,7,B,10,193,193,193,78.06804360790544,-0.0019907862229273654,0.003773605379708833,1.2431526201202185
7B50.jpg,Normal,7,B,50,197,197,199,79.57185737113011,0.36697182380712734,-0.9952898130347831,0.5057745651596098
7B100.jpg,Normal,7,B,100,196,196,196,79.15698471315477,-0.002013831763958418,0.0038172890139742677,1.1367924306509005
7B500.jpg,Normal,7,B,500,200,194,162,78.15307834789175,-3.197627464561925,16.88426608760718,13.980040908457642
7C0.jpg,Normal,7,C,0,193,193,193,78.06804360790544,-0.0019907862229273654,0.003773605379708833,0.0
7C10.jpg,Normal,7,C,10,192,192,192,77.7043635899527,-0.0019830895691130834,0.0037590161013234535,0.2573786239932668
7C50.jpg,Normal,7,C,50,194,194,196,78.48411312163468,0.36807758903401044,-0.9981908377387771,1.1547950871630757
7C100.jpg,Normal,7,C,100,192,192,192,77.7043635899527,-0.0019830895691130834,0.0037590161013234535,0.2573786239932668
7C500.jpg,Normal,7,C,500,193,193,193,78.06804360790544,-0.0019907862229273654,0.003773605379708833,0.0
7D0.jpg,Normal,7,D,0,193,193,195,78.12083669336252,0.3684504576234593,-0.9991688490882611,0.0
7D10.jpg,Normal,7,D,10,193,193,191,78.01590160889398,-0.3689385548231727,1.007800671843917,2.260874314981724
7D50.jpg,Normal,7,D,50,199,192,150,77.30737749740922,-4.270779312277762,22.109063524674898,16.630973560630053
7D100.jpg,Normal,7,D,100,199,185,88,74.53794388124201,-7.412556421243444,50.20965744935797,25.391383543281847
7D500.jpg,Normal,7,D,500,206,173,0,71.56288564963774,-1.4882226849785019,74.13350830181025,29.579361032474104
8A0.jpg,Normal,8,A,0,197,168,0,69.38253270829702,-2.84442009688346,72.18998625920118,0.0
8A10.jpg,Normal,8,A,10,204,174,0,71.63096711392603,-2.899669301466512,74.09238211302886,1.7847939798602657
8A50.jpg,Normal,8,A,50,203,176,1,72.06233625085356,-4.38039050226513,74.23850217475734,2.2751453076143755
8A100.jpg,Normal,8,A,100,203,175,1,71.79942142754379,-3.8564617115658395,74.05099395937094,1.985001711708438
8A500.jpg,Normal,8,A,500,206,179,1,73.13275052379025,-4.623888554255496,75.13202022301323,3.093655048865062
8B0.jpg,Normal,8,B,0,197,168,0,69.38253270829702,-2.84442009688346,72.18998625920118,0.0
8B10.jpg,Normal,8,B,10,205,175,1,71.98982923187893,-2.9719389503226057,74.27415423031243,2.0588413900598725
8B50.jpg,Normal,8,B,50,203,176,1,72.06233625085356,-4.38039050226513,74.23850217475734,2.2751453076143755
8B100.jpg,Normal,8,B,100,202,175,0,71.70334518787084,-4.309726696948735,74.0559831576788,2.008786368432252
8B500.jpg,Normal,8,B,500,207,177,1,72.70353241281032,-3.13738326205254,74.86962719342398,2.615306401309191
8C0.jpg,Normal,8,C,0,196,168,0,69.28636119178248,-3.290008660314925,72.07745821060924,0.0
8C10.jpg,Normal,8,C,10,201,172,0,70.81921566569086,-3.177027841320512,73.38486775880241,1.2275590001564656
8C50.jpg,Normal,8,C,50,203,176,1,72.06233625085356,-4.38039050226513,74.23850217475734,2.2653369594524277
8C100.jpg,Normal,8,C,100,201,174,0,71.34546795333739,-4.22819269404523,73.7582069251421,1.711803645311482
8C500.jpg,Normal,8,C,500,206,178,2,72.87186154802922,-4.091248058802844,74.83224906224213,2.840686847499287
8D0.jpg,Normal,8,D,0,195,166,0,68.66199264447002,-2.6771290898868205,71.59076577203913,0.0
8D10.jpg,Normal,8,D,10,198,169,1,69.7438001034437,-2.91664154793414,72.36758818571357,0.8737312467887642
8D50.jpg,Normal,8,D,50,201,173,1,71.08365494979908,-3.6921716574130348,73.45357961272,2.0055741295135716
8D100.jpg,Normal,8,D,100,199,171,1,70.36645448972736,-3.527254082095088,72.85494813652635,1.439898342370096
8D500.jpg,Normal,8,D,500,202,175,0,71.70334518787084,-4.309726696948735,74.0559831576788,2.57999064273439
9A0.jpg,Normal,9,A,0,232,2,98,49.60074834694004,77.34723081646777,14.186718804320764,0.0
9A10.jpg,Normal,9,A,10,228,3,97,48.79399338719067,76.30577909752695,13.561735488877513,0.8634144876549651
9A50.jpg,Normal,9,A,50,231,2,97,49.37545609162417,77.06087212709062,14.45914136104106,0.26856007356337225
9A100.jpg,Normal,9,A,100,233,6,101,49.97633660604116,77.45528515069583,12.895917066434448,0.6663555782604532
9A500.jpg,Normal,9,A,500,233,5,101,49.950380011540176,77.53082234473074,12.859875706286905,0.669003869073905
9B0.jpg,Normal,9,B,0,228,0,91,48.57911319249253,76.18260599919618,16.966865004188016,0.0
9B10.jpg,Normal,9,B,10,224,0,91,47.76174828787614,75.27514047863177,15.71960198045501,0.961176845113807
