Agent,Concentration,Dye1,Dye2,Dye3,Dye4,Dye5,Dye6,Dye7,Dye8,Dye9,Dye10,Dye11,Dye12,Dye13,Dye14,Dye15,Dye16,Dye17,Dye18,Dye19,Dye20,Dye21,Dye22,Dye23,Dye24,Dye25,Dye26,Dye27,Dye28,Dye29
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,10,0.310640759,0.32025481,0.731153894,0,0.429358476,0,2.117563663,0,0,0.471026125,0.326527029,3.751124096,0.848024628,1.154614468,1.416013226,0.159442039,0.308145805,0.293773878,0.283766117,1.722553332,0,1.415569668,0.157550284,1.291942104,0,0,0.160037787,1.315024951,0
A,50,1.371660279,0.365255682,0,0,1.95060371,0,5.869439559,0,0,1.742101434,0.424021161,3.651116528,0.159442039,0.972443386,1.416013226,0.913812083,1.20387535,0.953448735,0.283766117,2.058949185,0.424295427,1.415569668,0,1.767300647,0,0,0.160037787,0.797292473,0
A,100,0.717185218,0.336071885,0.731153894,0,1.228478393,0,9.225494239,0,0,0.319433665,0.180025144,1.927890961,0,0,1.416013226,0.867080388,1.21989643,1.247389839,1.672688646,2.794852261,0.389167793,2.150898223,0,1.019933418,0.157925002,0,0.323701982,1.589083782,0
A,500,1.503430898,0.336071885,0.73769436,0,1.132878513,0,36.40326468,0,0,2.260491972,1.333573583,2.471303814,0.319267482,1.507259388,0.18383227,0.858712623,3.397208053,0.504045949,0.658442734,8.247328969,0.424295427,2.525609611,0.157550284,2.062096497,0.157925002,0,0.323701982,2.891638199,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,10,0.383865702,0.793704353,0,0,0,0,2.580035933,0,0.208900902,1.013994729,0.326527029,3.200523325,0.319267482,1.328110134,1.772430359,0.159060028,1.533867794,0.591224471,0.291356269,2.280146703,0.389167793,1.782881029,0,1.93307298,0,0,0.164584777,1.54939093,0
B,50,0.543730563,0,0,0,1.493937992,0,10.9640682,0,0.208900902,0.45332093,0.377418982,4.08340148,0.643074059,1.328110134,1.650203826,0.858605003,1.704203851,0.566965662,2.158867229,2.450687948,0.424295427,1.782881029,0.157550284,2.348080254,0,0,0.164584777,0.42340221,0
B,100,0.155014773,0.543921636,0.630233054,0,0.747822881,0,19.06237017,0,0,0.519408583,0,0.528367533,0.995700625,0.736897949,1.772430359,0.962322452,0.84327508,1.420424478,0.880955747,3.546562362,0.389167793,1.782881029,0.816869546,2.154460197,0.526398947,0,0.864352684,1.340432139,0
B,500,1.211556909,1.090932497,0.630233054,0,1.310294095,0,56.03757217,0,0,1.374637754,2.635723856,1.795448027,1.153408301,1.150441521,0.854524291,1.149360306,9.056976742,0.957826726,5.167626719,10.61184999,0.424295427,3.438394387,1.381203073,1.070709192,0.526398947,0,0.669555222,2.212213989,0
C,0,0,0,0,0,0,0,0,0,0,0,0.080326545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,10,0.383865702,0.794853152,0,0,0.224301277,0,2.314735254,0,0.208999547,1.266860173,0.159139216,2.078387111,0.159060028,0.481397941,1.258118184,0.848024628,2.18776585,0.734421382,1.186637418,2.303816489,0.389167793,1.754773208,0.639523457,1.360552921,0,0,1.407111176,0.156864215,0
C,50,0.424811998,0.201755133,0.630233054,0,1.337598065,0,2.047163049,0,0.208999547,0.549998243,0.326527029,3.271999016,0.520174213,0.481397941,1.328173006,0.848024628,11.82191205,1.860385576,3.472687016,7.063525725,0.389167793,1.754773208,0.647865563,1.312701723,0,0,0.323701982,1.477595669,0
C,100,0.048348015,0.262145359,0.630233054,0,3.640343123,0,2.402954662,0,0,0.549998243,0,2.062603379,0.897805844,0.798177975,1.258118184,0.848024628,14.15120805,2.422669069,8.943045754,11.92905458,0.424295427,1.834106736,0.396493014,0.317202642,0.93232809,0,2.670151321,2.745984141,0
C,500,1.333751013,0.927757366,0.630233054,0,53.79105577,0,9.315969347,0,0,0.721619439,1.374024345,3.556146203,1.047663431,1.066641408,1.008140677,0.159060028,15.62448967,2.810044898,15.15215213,19.17200673,1.312137885,5.346457073,1.064438172,2.190035169,0.93232809,0,0.936194716,3.452568602,0
D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,10,0.917157453,1.258375594,0.393615508,0,0.581692539,0,21.61704357,0,0,0.824512162,0,1.788009108,0,1.072917805,1.328141142,0.858551749,2.343632688,0.716855078,1.677159752,2.977867028,0.389167793,1.381203073,0.858394175,2.124750154,0,0,1.221526907,2.410313426,0
D,50,0.050467582,0.656059864,2.083671624,0,1.311258739,0,60.53334419,0,0,0.631478578,0.159139216,2.842122314,0.858605003,1.072917805,1.527860046,0.848018066,9.057825904,2.782483649,4.183712802,9.240135646,0.424295427,1.381203073,0.848011546,3.745976883,0,0,0.160037787,0.753437556,0
D,100,0.50992245,1.492976629,0.549476881,0,2.439428783,0,77.4080402,0,0,1.269711941,0.159139216,2.068744725,0.858605003,1.005044647,1.114091739,0.897571748,15.28602865,1.09549372,12.10703649,13.34599953,0.424295427,1.824498178,0.858394175,9.171367427,1.532187026,0,2.982331939,1.860071652,0
D,500,0.801064528,2.402383059,2.4145727,0,55.1677616,0,92.42189243,0,0,1.027893074,1.547020022,18.76384831,0.858605003,1.124355934,0.894830975,0.15867986,15.28602865,2.530869497,26.00463413,19.20967968,2.946129724,2.753488279,1.677483068,13.05406967,1.532187026,0,1.672508905,3.032375442,0
