Agent,Concentration,Dye1,Dye2,Dye3,Dye4,Dye5,Dye6,Dye7,Dye8,Dye9,Dye10,Dye11,Dye12,Dye13,Dye14,Dye15,Dye16,Dye17,Dye18,Dye19,Dye20,Dye21,Dye22,Dye23,Dye24,Dye25,Dye26,Dye27,Dye28,Dye29
DMMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMMP,10,13.45192106,3.100330313,1.831633788,0.389167793,1.946524338,0.857418395,2.026597423,2.189740235,0.09371403,1.403475785,5.113474361,3.169368555,1.881026778,1.238454445,3.780094526,1.729715135,1.397181882,0.67574241,1.892792651,0.456544474,1.007836001,0.966449643,0.697973819,3.473540092,1.108982831,0.171631014,0.478270786,0.651797024,0
DMMP,100,18.6001718,1.752834302,1.096528196,0.424295427,1.946524338,1.644706528,3.199493411,0.858342367,0.756867061,0.348629195,3.517813971,3.692662759,0.362516493,1.238454445,5.909601937,1.729715135,0.679981169,1.194477543,4.676896761,1.051117874,1.24319493,1.019082945,1.854226236,1.683032335,0.41221895,0.954228454,0.449084498,1.581598936,0
DMMP,50,14.74430182,1.111340267,1.497897147,0.389167793,1.093812295,1.412768807,2.489465391,1.265588043,0.09371403,0.897860659,3.935700479,5.177920067,0.685552079,1.291200967,3.475031806,1.860834623,3.141372403,0.431215118,3.321025042,1.441854688,1.24319493,0.164100671,1.985826685,1.342247509,0.41221895,1.037769743,1.02500888,2.438414631,0
DMMP,500,20.40250124,6.441563503,1.170024751,0.513084045,0.880213004,1.047905677,2.315653112,1.667466744,0.09371403,1.958925468,4.10985258,4.557718882,1.050038213,0.160291825,4.436981322,2.559349022,4.480872787,0.528692912,3.774119696,1.815008432,1.261649523,0.966110826,1.171612633,3.648056606,1.242163024,1.431111618,0.696528384,2.150436334,0
GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,10,13.51351134,3.481390896,3.185237945,0.389169235,3.545033431,1.233311756,0.860378906,1.667466744,0.290326579,1.399986093,3.023717693,3.349915079,2.728235363,1.862998839,3.82333425,2.613670314,0.448040625,1.316791446,0.847537394,0.317577811,0.612813972,0.805188984,0,2.882933669,1.824498178,0.44638124,2.39761143,0.681943711,0
GA,100,19.40467346,2.56355618,2.159562107,0.970652761,3.116077483,2.924497843,2.922343577,1.414124107,0.423525951,1.715676989,3.735984777,4.44474389,2.399362245,1.245564495,6.603865299,1.202493868,2.241214674,2.058695448,1.687801501,0,0.157790589,0.716306201,1.190004845,2.564399876,1.365735785,0.919039569,3.263422163,3.34896372,0
GA,50,12.55591568,2.801280329,2.694183078,0.415774995,2.744281312,1.819797091,4.306691293,0.858342367,0.361338514,0.917776046,2.391815195,5.187475252,1.941253164,1.806505704,0.943402495,2.758184714,1.025461988,1.716794706,0.287451891,3.100732377,0.652902458,0.587889188,1.738037138,1.760321243,0,1.11141142,3.601343893,4.059737648,0
GA,500,21.56907963,8.372056175,0.689986398,0.525272199,2.885629346,1.761995089,5.90666159,0.858342367,0.439909822,1.821344763,2.954259988,5.966007577,1.57435309,0.613828141,5.245799129,3.451378585,21.42042765,7.483199959,1.199741185,2.257526245,0.157790589,1.478449912,3.18437023,5.3370614,2.143639594,1.11141142,2.935235273,4.205729057,0
