Agent,Concentration,Dye1,Dye2,Dye3,Dye4,Dye5,Dye6,Dye7,Dye8,Dye9,Dye10,Dye11,Dye12,Dye13,Dye14,Dye15,Dye16,Dye17,Dye18,Dye19,Dye20,Dye21,Dye22,Dye23,Dye24,Dye25,Dye26,Dye27,Dye28,Dye29
AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC,10,1.355878131,1.478946346,1.446373171,1.145745711,1.580770199,1.823585302,0.604743443,0.880305194,1.009300411,1.405411038,0.447850251,4.16467046,0.521415104,1.469323195,2.930344944,3.098112487,4.158810877,0.704993475,2.311547448,1.1291638,2.584751802,0.259999229,0,2.116477476,3.525451506,0.26030441,1.039641988,1.508381726,0.819968623
AC,50,0,1.111429258,1.155170465,0,0.410044104,0.330624951,0.604743443,0.538710377,0.843285713,2.702936518,0.054382791,2.689424181,4.030205675,4.949645124,3.167200843,6.226463838,0.894318028,1.22717909,0.962300149,0.506890024,2.345315687,0.707116932,0.787768394,1.944580811,3.740478804,2.218418386,1.302770006,1.344849765,0.583680756
AC,100,0.246568371,1.232901179,1.414741095,1.232901179,1.665626409,0.513223678,0.489554619,1.35365448,1.254574059,1.405411038,0.744754697,3.092741448,3.761442389,2.162041945,4.095360274,6.518272072,1.653840775,0.962438698,3.445520307,1.466998055,2.522837802,0.53219954,0.518721546,2.939983008,2.542523411,2.794779361,2.165486261,1.695967443,0.957087279
AC,500,2.326517575,0.504057937,1.446373171,0.606389118,1.355786391,0.503236151,0,1.082680437,0.99314609,0.573919523,0.30452493,3.589362759,3.674283641,6.084124342,3.630423593,6.478626618,4.863387845,0.471819584,4.802389569,1.8467123,0.330929594,1.127696482,0.518721546,2.395602616,2.230749481,3.468832762,3.181958282,2.054112721,0.6141988
CG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CG,10,0.758807195,1.199445744,1.821305898,1.361789558,1.685945361,1.799400495,0.750398554,0.804434423,1.423599939,0.489806755,0.611291399,2.657009217,2.190124716,2.805005796,3.184310922,3.64997448,1.537078319,2.572383333,1.476266966,1.65394812,3.596080352,0.261286995,0.529130071,2.42017199,2.910879083,1.803855582,1.315770619,0.516184681,0.371916792
CG,50,1.089802033,1.149733081,0.636303512,0,1.138772301,0.62762688,0.605507754,0.265522148,0.671221231,1.045130254,0.244701561,1.640654572,3.559539098,3.63985545,3.650881874,6.663914741,0.270483193,2.463237666,1.246932355,0.984417696,1.521023547,1.319534628,1.332883343,2.131890357,3.740478804,1.062062225,1.851353162,0.516184681,0.584249203
CG,100,1.328774212,1.236965356,1.591725826,0.498955435,0.842866857,0.618667565,0.619237531,0.804434423,0.744361232,0.334482165,0.499078213,1.775757272,2.125025139,0.975251865,4.292291452,6.704741503,0.669314933,2.694013184,4.245826942,1.440814661,3.166263755,0.787768394,1.042577272,3.402676578,2.230749481,1.386893894,2.121177964,0.776177668,0.674937516
CG,500,2.626529458,0.253845036,4.084517523,0.494290169,0.619582009,0.758922865,20.94830182,27.88785184,3.025396917,0.682960098,0.904182435,1.121866444,4.716431864,2.742318502,12.62500077,7.146777018,17.11898896,20.50306318,6.626753675,4.971071374,3.978839448,0.523872748,0.263902211,2.593630032,2.006158807,2.145724551,1.582887971,2.360701588,0.280851375
CK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CK,10,1.352966001,1.478946346,0.897760904,0,1.342709292,1.45505433,0,1.02633067,1.067738315,1.089248313,0.729604615,2.26953379,3.083118063,0.544916534,3.330513063,3.430238977,1.691971268,0.704838087,1.652776914,1.282768405,5.301046534,0.903696178,0.526487927,3.681661979,2.901387508,1.446861047,1.582887971,1.246868469,0.707530076
CK,50,0,1.111429258,0.590177112,1.232901179,0.537711071,0.768666397,1.127983654,0.530927769,1.65832722,3.510776915,0.280528403,1.536403877,3.862710293,2.366502744,2.941895146,6.398598624,0.406603766,1.78872215,1.966199828,1.10787383,2.371464,0.531234093,1.32617443,2.817974462,3.302651455,0,1.582887971,1.034652019,0.279403229
CK,100,0.491990693,1.147065046,0.611608587,1.111429258,1.785905558,0.593189538,0.93249417,0.884488483,0.783101787,0.677765622,0.729604615,1.283061189,3.602512016,1.139893398,3.452357756,6.617634418,1.523847345,1.505472937,0.833993666,1.297860953,2.371464,0.569925565,0.521284096,4.379463326,2.101669867,1.142981703,1.953804834,1.713679054,0.674241178
CK,500,2.544580286,1.478946346,0.897760904,1.690679058,1.52235169,0.975147723,0.560944062,0.633718528,0.637789804,0.703224742,0.833445192,1.803315535,3.547323422,2.80448232,3.004899787,6.901659284,2.129953503,1.026784178,5.174688513,1.915441659,1.970156854,1.904049477,0,3.681661979,2.003348103,2.119220468,2.664954272,2.167551984,0
