Agent,Concentration,Dye1_N,Dye2_N,Dye3_N,Dye4_N,Dye5_N,Dye6_N,Dye7_N,Dye8_N,Dye9_N,Dye10_N,Dye11_N,Dye12_N,Dye13_N,Dye14_N,Dye15_N,Dye16_N,Dye17_N,Dye18_N,Dye19_N,Dye20_N,Dye21_N,Dye22_N,Dye23_N,Dye24_N,Dye25_N,Dye26_N,Dye27_N,Dye28_N,Dye29_N,Dye1_U,Dye2_U,Dye3_U,Dye4_U,Dye5_U,Dye6_U,Dye7_U,Dye8_U,Dye9_U,Dye10_U,Dye11_U,Dye12_U,Dye13_U,Dye14_U,Dye15_U,Dye16_U,Dye17_U,Dye18_U,Dye19_U,Dye20_U,Dye21_U,Dye22_U,Dye23_U,Dye24_U,Dye25_U,Dye26_U,Dye27_U,Dye28_U,Dye29_U,Series
CK,500,2.544580286,1.478946346,0.897760904,1.690679058,1.52235169,0.975147723,0.560944062,0.633718528,0.637789804,0.703224742,0.833445192,1.803315535,3.547323422,2.80448232,3.004899787,6.901659284,2.129953503,1.026784178,5.174688513,1.915441659,1.970156854,1.904049477,0.0,3.681661979,2.003348103,2.119220468,2.664954272,2.167551984,0.0,11.66264072,0.735220986,1.721830768,17.62921059,2.054969977,1.284362356,39.03896996,0.0,0.236779388,1.112554689,1.829878901,2.758487012,1.101630581,0.0,2.069896901,0.0,2.03671915,1.425149534,2.718161512,0.953913133,2.229316634,0.343925302,0.343925302,0.343925302,0.343925302,0.343925302,0.343925302,1.211615487,0.0,d2
HD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d2
HD,10,0.747181135,0.255071026,1.002099402,0.0,1.962818369,1.154801232,1.126815803,1.073118021,1.090771751,1.461695002,0.331185976,3.127456114,1.95630299,1.045764445,0.887330065,0.540331217,1.224671329,0.615380516,2.772346625,0.251265432,1.663618999,1.350622186,1.303393463,3.471013316,2.601442094,1.708538105,1.581775671,0.501321892,0.345798225,2.604175336,0.808334488,0.558827647,2.031975248,5.0069876,1.232522775,3.284737103,0.0,0.652409856,1.622924331,0.501375317,2.569742367,0.929286699,0.0,1.040198683,0.157870805,0.710745695,0.0,0.875561126,0.0,0.0,0.503657842,0.503657842,0.503657842,0.503657842,0.503657842,0.503657842,1.586285069,0.0,d2
HD,50,1.108382936,1.114527459,2.65767584,0.993904695,1.19794087,0.920735747,0.561366202,2.095466512,0.296909418,1.390925713,0.568592483,1.908607859,2.960687076,4.808554955,1.816878105,0.808464426,0.688029451,0.615380516,0.392532648,0.250077485,2.236614147,0.251849579,0.253055897,1.582887971,3.035155404,0.856709727,1.34603368,0.606158622,0.096266228,9.429932161,2.241649698,0.767463585,0.875864358,4.879540884,0.813466169,3.890491407,0.0,1.049572637,0.909203841,1.543928144,2.826819642,2.127413525,0.0,0.749503102,0.912898624,1.282400051,0.899378819,1.163667328,2.096618258,0.0,1.165283753,1.165283753,1.165283753,1.165283753,1.165283753,1.165283753,0.708691194,0.202597768,d2
HD,100,0.247891174,0.757897209,2.367872377,0.251428812,1.254994339,1.000808988,0.979433289,1.073118021,1.36809286,1.143573383,0.741922355,2.351908583,2.960687076,3.162857564,2.083598608,0.783009516,1.546334275,0.0,2.432395153,0.998143739,2.247195474,0.0,1.912334289,3.740478804,1.903408891,1.365502842,1.115156118,1.210372806,0.396941197,8.99716342,0.239049727,0.558827647,1.444163613,5.681393539,1.442528516,3.604379197,0.0,0.842062363,2.364386321,1.834942317,2.714837828,3.395933475,0.0,0.749503102,0.866709902,1.506407262,0.221416315,2.737361143,0.845767968,0.157710884,0.732745229,0.732745229,0.732745229,0.732745229,0.732745229,0.732745229,0.303008029,0.202597768,d2
HD,500,1.760058686,0.0,1.510101381,1.514288898,1.543354261,0.359095024,1.126815803,1.28131967,1.262078938,0.862796065,0.325398634,2.74407911,2.807753259,8.834245416,2.528796076,1.272410118,0.910989677,0.279639994,2.772346625,0.998143739,0.771368958,0.0,1.973954103,3.958844933,2.146023914,1.484264134,1.806073028,1.044534549,0.932219029,9.761805399,1.922345243,0.558827647,1.297056849,4.268859586,1.232522775,4.438377546,0.0,0.357740058,2.623464998,1.525050538,2.855396722,2.549034272,0.0,0.7895176,0.460160841,1.639310612,1.555072709,2.737361143,1.382773367,0.157710884,1.981424127,1.981424127,1.981424127,1.981424127,1.981424127,1.981424127,1.814760285,0.0,d2
HN,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d2
HN,10,0.608861998,0.253845036,1.518069574,1.129159275,1.507904868,1.452610674,0.546700277,0.876209367,1.297887956,1.71530138,0.481057016,2.861507101,1.797139987,1.81975239,4.124457564,2.424258655,2.689338956,1.10882043,3.614843656,1.196157455,1.912319826,1.920602104,1.309720765,1.969355867,2.664606734,1.027046855,1.519931791,1.012256673,0.909713578,1.084824756,0.530384018,0.170200928,3.456747459,2.760796864,2.782259771,5.988791642,0.0,0.094938496,0.734255853,1.023449311,2.178267619,0.314054537,0.0,1.822509664,0.0,1.44668591,0.211492157,1.196253633,1.710674274,0.158490972,1.795813192,1.795813192,1.795813192,1.795813192,1.795813192,1.795813192,1.048193536,0.0,d2
HN,50,0.758054217,1.113488861,2.036371199,1.144435987,0.416335021,0.60983895,0.607879813,1.08031038,0.295952197,1.71530138,0.564787935,1.63361702,2.801856965,6.360268133,9.342909405,4.754594661,0.755034502,2.01622798,2.232837818,1.109626613,2.463964807,0.51726869,0.960971416,1.071332864,2.664606734,1.517364434,1.58681359,1.350808105,0.936926382,13.54979168,2.205399825,1.475165286,1.629044845,2.684561764,1.333496906,6.464184421,0.0,0.384354023,0.921160872,1.95437167,2.624820128,2.896048336,0.0,2.146260925,0.0,2.093707263,1.039232085,1.550713601,1.479730458,0.158490972,2.854662937,2.854662937,2.854662937,2.854662937,2.854662937,2.854662937,1.02173126,0.0,d2
HN,100,0.606389118,1.16046323,1.753870596,0.499295432,1.599635504,0.666147688,0.720861795,1.412139151,1.228657332,1.364297903,0.930420476,1.72253728,2.837594775,4.083338789,11.29012995,4.754594661,0.834343287,0.963243576,5.359254607,2.410177863,2.518779134,0.256746748,2.080507107,3.552473163,2.130551524,0.258391336,1.714102742,1.726426413,1.399491072,11.90556295,0.530384018,1.692185405,0.484328854,3.824132299,1.102431822,5.369264113,0.0,0.384354023,0.274876414,1.87654882,3.272536871,3.15796592,0.0,1.624107481,0.0,1.872001772,0.829422246,1.550713601,1.93233231,0.316604061,2.854662937,2.854662937,2.854662937,2.854662937,2.854662937,2.854662937,0.754600279,0.0,d2
HN,500,1.619974448,0.252631026,0.87562494,1.352966001,1.525786551,0.996571811,0.546700277,1.952328824,1.228657332,0.836596318,0.564787935,2.047959201,4.755269709,4.255968619,15.49695385,4.985820819,3.424040225,1.666877008,5.362212177,2.930461107,0.15458482,1.359037049,2.080507107,3.131216688,1.94137679,1.050386269,1.814946487,2.105526778,0.0,15.45166476,1.715088202,2.0264325,1.990549617,2.643863927,1.054446184,9.509064752,0.0,0.280441543,2.036605922,1.950786418,3.048868223,3.247094432,0.0,1.455778687,0.158247065,2.299541726,1.612950603,2.124892854,3.773599074,0.800311059,1.653192146,1.653192146,1.653192146,1.653192146,1.653192146,1.653192146,0.924980885,0.0,d2
L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d2
L,10,0.247723581,0.253845036,3.987984056,1.145745711,1.127022576,1.520218394,0.245588547,1.402230539,1.884533288,1.405411038,1.416677631,3.571077809,4.151743073,4.787306297,4.5410997,3.060626772,16.5091957,10.62994031,3.590582175,5.066165821,2.573655326,0.0,0.897271476,2.132092047,3.512155617,1.21089879,2.259019712,0.76101182,0.850566091,4.493596812,5.465291747,0.766912788,1.152793066,2.893772671,1.789410286,8.484593932,0.0,0.282613173,1.279773562,3.32762381,3.009081809,7.087693219,0.0,2.260255578,0.15862514,39.2811421,3.550440135,2.229692579,12.72412733,2.229316634,2.854662937,2.854662937,2.854662937,2.854662937,2.854662937,2.854662937,1.308852423,0.0,d2
L,50,0.246568371,1.149733081,3.734243576,0.494290169,0.299233962,0.351035288,1.689635898,27.34914179,3.852089414,1.904767431,1.399941757,2.408177863,4.968763281,4.753425082,7.627471265,6.445953554,18.42740154,20.53381011,4.97016042,5.037676178,2.9244795,0.897271476,0.532727676,1.912017774,3.676776633,1.652388876,1.306026882,1.303393463,0.607986841,13.98133614,6.53356184,1.644767297,13.55177585,2.72801163,2.89149939,29.06423535,0.0,0.474772916,1.715676989,4.704573694,3.373892329,7.756747881,0.0,1.801773951,0.848021342,43.33265034,89.17962241,2.733204363,13.53719865,2.632859591,3.353799762,3.353799762,3.353799762,3.353799762,3.353799762,3.353799762,1.802488038,0.0,d2
L,100,0.247723581,1.522438793,2.316754873,1.232901179,0.494805999,0.954426761,4.788585191,37.73546904,3.217387528,0.977792171,1.702690576,3.013342665,4.715148296,8.568935884,8.841103698,6.470807789,18.4707792,20.31291293,11.60941582,5.045499696,3.110479661,1.89266654,1.346423583,3.153579167,3.098574985,1.218921901,1.944342872,1.214332315,0.877253766,12.2529844,4.05923799,1.644767297,27.31863349,3.506103504,0.952846294,37.98117996,0.0,0.556532362,0.0,4.390909399,3.211941855,7.756747881,0.0,2.003208195,0.848021342,45.91786957,94.0556868,2.145034104,13.59385173,2.632859591,4.610001356,4.610001356,4.610001356,4.610001356,4.610001356,4.610001356,2.498811125,0.0,d2
L,500,1.900966693,0.252631026,1.373654405,0.735809981,0.861898,0.378716042,9.535891115,46.5916205,8.167757424,0.348620047,1.399941757,2.684093149,4.499930192,0.984835998,13.05329892,6.470807789,19.10126346,20.22330685,18.25971154,5.066165821,1.942697219,1.207882102,0.897271476,3.153579167,2.31380442,1.218921901,2.831887371,1.792969495,0.494405341,16.66959611,4.932339341,1.9563985,37.24182863,2.214728313,1.107167545,78.03428103,0.0,0.840409633,2.492644413,5.072276621,2.495714088,9.71011155,0.0,2.003208195,2.269527614,47.56214985,94.593588,2.229692579,13.67520655,2.253060239,2.30127528,2.30127528,2.30127528,2.30127528,2.30127528,2.30127528,1.780634311,0.0,d2
PS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d2
PS,10,1.151539263,1.524157066,3.089261587,0.757897209,0.867041814,1.176179712,1.230896831,1.280197649,0.958333835,0.685517143,0.481867614,2.427416852,1.227324246,2.829865963,3.622249662,3.669363137,4.114148106,2.103314719,5.222637315,0.259193407,3.485372912,0.523872748,0.26792757,4.255250557,2.383717586,1.306851573,2.191584434,0.0,0.35100577,2.899624969,0.412624258,0.862121845,2.204511751,3.61385313,3.541210365,1.84107247,0.0,0.192160016,1.752874378,0.661306334,1.567277742,0.698538923,0.0,0.83044321,0.158247065,0.737613208,0.795869805,1.088524728,0.7166019,0.42413413,1.342130961,1.342130961,1.342130961,1.342130961,1.342130961,1.342130961,1.001137632,0.0,d2
PS,50,0.560850392,1.208982451,1.696381957,1.147065046,0.244944596,0.175654706,0.0,0.0,0.854380111,1.354539841,0.049747023,2.111588904,2.643295774,2.530575922,1.92720294,6.628641096,0.684088127,3.277125839,3.14727995,0.514600591,1.971590751,1.587428219,0.269297624,2.876215863,3.5388899,0.715639338,2.678504772,0.259999229,0.713611374,4.202471261,5.450765926,0.503618137,1.00301922,2.280460202,1.258106143,1.789212679,0.0,0.097255686,2.175152483,1.539739746,1.937633336,1.082503114,0.0,1.797360767,0.858498863,2.21296142,4.751881396,1.717547787,0.390992204,0.389167793,1.054668971,1.054668971,1.054668971,1.054668971,1.054668971,1.054668971,1.009167735,0.0,d2
PS,100,0.916848517,1.236965356,0.994863577,1.20533987,1.964515139,0.612249181,0.491990693,1.02676071,0.710125413,0.506753761,0.562865913,1.884670982,2.054560012,1.009869165,4.569910573,6.96834955,2.076577128,6.820559526,7.559342753,1.334688319,4.000832957,1.319534628,2.106045294,5.239025689,2.00899419,2.422229783,3.451304364,0.783865558,0.687824117,5.516824005,13.1355911,0.862121845,1.024905327,4.972640029,2.033792102,2.655105539,0.0,0.097255686,2.540130635,3.968923268,2.794191597,0.824260022,0.0,2.033569822,0.0,6.901349431,9.414437261,3.065852704,1.847764584,0.42413413,1.054668971,1.054668971,1.054668971,1.054668971,1.054668971,1.054668971,2.690596154,0.0,d2
PS,500,2.598320831,1.022764992,3.194671258,1.151539263,1.61189462,0.361295325,1.358819164,1.034099733,0.185451885,0.343875321,0.607932136,1.773409609,1.228981655,3.842740105,4.556670827,6.954936124,9.290778501,14.23008911,9.071986508,4.598691148,2.484993689,1.052985212,0.0,4.013789778,2.00899419,2.422229783,3.509017512,2.221482987,2.011491293,6.236197337,18.50909117,0.158813481,2.885922576,2.820353886,2.309783058,10.71115874,0.0,0.474772916,2.089616636,6.591989844,4.667792085,0.689178107,0.0,1.797360767,0.158247065,26.71530787,27.96115745,1.957413207,2.65502362,0.42413413,0.0,0.0,0.0,0.0,0.0,0.0,3.738873535,0.0,d2
A-230,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d3
A-230,10,1.012580487,3.939469134,5.468893665,1.02238134,0.56440029,1.195480387,1.740639215,1.78479398,0.863414488,0.382366619,0.877710894,6.561954501,0.400825787,0.472176248,0.835976676,1.70711797,1.646338805,1.106284252,5.586361226,1.531787568,0.428140736,1.801711555,0.50387174,1.991554987,0.0,1.358526352,3.285340454,0.256129886,0.640749161,0.310640759,0.32025481,0.731153894,0.0,0.429358476,0.0,2.117563663,0.0,0.0,0.471026125,0.326527029,3.751124096,0.848024628,1.154614468,1.416013226,0.159442039,0.308145805,0.293773878,0.283766117,1.722553332,0.0,1.415569668,0.157550284,1.291942104,0.0,0.0,0.160037787,1.315024951,0.0,d3
A-230,50,0.0,5.188692577,4.527782456,0.76864268,1.68035008,0.88417972,1.327946212,2.275145308,0.268560074,1.547053402,0.423099805,8.299346008,2.112721827,1.334237258,0.638735059,3.910802223,2.999140261,0.281447754,5.581506616,1.960987423,0.219849519,1.550518593,0.253750549,0.761255832,0.25133617,1.762219384,2.792885653,1.098049532,0.475820656,1.371660279,0.365255682,0.0,0.0,1.95060371,0.0,5.869439559,0.0,0.0,1.742101434,0.424021161,3.651116528,0.159442039,0.972443386,1.416013226,0.913812083,1.20387535,0.953448735,0.283766117,2.058949185,0.424295427,1.415569668,0.0,1.767300647,0.0,0.0,0.160037787,0.797292473,0.0,d3
A-230,100,1.293644245,2.138086214,5.230192702,0.513673095,2.297982381,0.567916558,0.50387174,1.985001712,0.666355578,0.204073316,0.281993521,4.810565038,2.516198405,1.057849689,1.077726711,5.312242084,3.576653195,0.570080815,4.608657414,2.539133906,0.219849519,1.882840719,0.0,1.26270797,0.0,1.062003954,2.405162633,1.098049532,0.421083149,0.717185218,0.336071885,0.731153894,0.0,1.228478393,0.0,9.225494239,0.0,0.0,0.319433665,0.180025144,1.927890961,0.0,0.0,1.416013226,0.867080388,1.21989643,1.247389839,1.672688646,2.794852261,0.389167793,2.150898223,0.0,1.019933418,0.157925002,0.0,0.323701982,1.589083782,0.0,d3
A-230,500,1.293644245,3.175113054,4.576357684,0.76864268,2.161683205,1.770674574,7.02303121,3.093655049,0.669003869,2.85393006,0.837018329,3.893073333,9.510272265,9.688346384,0.609087495,12.5126928,12.81974101,1.689765205,5.021033934,7.624597262,0.428140736,2.120480587,1.250752415,1.26270797,1.333101625,1.575141999,2.274893925,1.279570105,1.348305367,1.503430898,0.336071885,0.73769436,0.0,1.132878513,0.0,36.40326468,0.0,0.0,2.260491972,1.333573583,2.471303814,0.319267482,1.507259388,0.18383227,0.858712623,3.397208053,0.504045949,0.658442734,8.247328969,0.424295427,2.525609611,0.157550284,2.062096497,0.157925002,0.0,0.323701982,2.891638199,0.0,d3
A-232,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d3
A-232,10,0.25746233,6.386871698,4.668133854,0.263623779,1.74315395,1.578688199,1.24315262,2.05884139,0.961176845,0.898412887,1.343347791,6.351675181,1.928003338,0.849484663,0.780317022,1.2569651,1.875417932,1.743818082,5.581362337,0.883939537,0.693945966,1.810541323,0.25133617,0.76864268,0.252537469,0.379705096,1.269637495,0.257378624,1.238992596,0.383865702,0.793704353,0.0,0.0,0.0,0.0,2.580035933,0.0,0.208900902,1.013994729,0.326527029,3.200523325,0.319267482,1.328110134,1.772430359,0.159060028,1.533867794,0.591224471,0.291356269,2.280146703,0.389167793,1.782881029,0.0,1.93307298,0.0,0.0,0.164584777,1.54939093,0.0,d3
A-232,50,4.251444785,8.187153637,4.499833694,0.569075938,0.956096087,2.851324343,0.505774565,2.275145308,0.418749883,0.904788077,0.504448468,5.613129151,2.105869192,2.257135763,1.096300639,2.038952615,4.57774511,0.413589777,6.914447835,2.11487939,0.271134051,1.554960847,0.0,0.513673095,0.252537469,0.815840415,1.318911773,1.123882814,0.515025473,0.543730563,0.0,0.0,0.0,1.493937992,0.0,10.9640682,0.0,0.208900902,0.45332093,0.377418982,4.08340148,0.643074059,1.328110134,1.650203826,0.858605003,1.704203851,0.566965662,2.158867229,2.450687948,0.424295427,1.782881029,0.157550284,2.348080254,0.0,0.0,0.164584777,0.42340221,0.0,d3
A-232,100,3.99925794,6.124593876,5.662503819,0.78976399,2.990767297,1.408412384,1.136792431,2.008786368,0.471216536,1.116673258,0.276827871,3.783497212,2.782979845,3.527606617,1.582187015,4.055556479,5.94086819,0.0,4.277074282,2.373565517,0.160805889,1.742689976,0.252537469,0.76864268,0.506286088,0.893832499,0.657611457,1.119702819,0.515025473,0.155014773,0.543921636,0.630233054,0.0,0.747822881,0.0,19.06237017,0.0,0.0,0.519408583,0.0,0.528367533,0.995700625,0.736897949,1.772430359,0.962322452,0.84327508,1.420424478,0.880955747,3.546562362,0.389167793,1.782881029,0.816869546,2.154460197,0.526398947,0.0,0.864352684,1.340432139,0.0,d3
