Agent,Dye10,Dye11,Dye12,Dye13,Dye14,Dye15,Dye16,Dye17,Dye18,Dye19,Dye1,Dye20,Dye21,Dye22,Dye23,Dye24,Dye25,Dye26,Dye27,Dye28,Dye29,Dye2,Dye3,Dye4,Dye5,Dye6,Dye7,Dye8,Dye9
A-230,2.2925031322028864,0.24444667942685167,0.6043965178684582,1.3480376667747729,0.9565036133580795,0.15582432630171836,0.6554054648312794,0.7966007468798021,0.20412611697847186,1.0281376857608924,0.45909631474861073,1.3128783947059552,0.34166867552525176,1.8766856792567428,1.4340734604084708,0.442533047814077,0.9415465074660535,1.124872021457087,0.8148576406931595,0.9668455898538523,1.7677738015614024,1.7525717725191934,1.282793300133028,0.6158795247466765,0.2590229898574612,1.5699172017933405,1.0371787892713977,0.39426788614408337,0.42389190036663266
A-232,2.011696005715258,0.9334883180480565,0.8390628447978498,1.6296830126228,2.2332802077652785,0.13107645076050103,0.5394521070114453,2.010462607559119,0.174670286468619,1.099736884125666,3.362050812915221,1.9314706786061542,0.3460378984959615,1.5753723196448461,0.5456826628570072,0.17711772641826198,0.7645813172716449,0.8158561719708335,0.5491445074149994,0.3744594855402728,1.1918443251236421,4.800987809649244,0.9324135814876366,1.5891239054704953,0.5141787128430695,2.1794750259359335,2.206282191569036,0.3320400753641971,0.14967527423362248
A-234,2.7606590105338205,0.38691806189940525,1.8297030228879658,3.1015334252207074,3.5651053429855417,0.3694904724588134,5.024292546215138,3.0397568479643113,0.383534245354823,1.246159383516824,4.388194246038794,3.866885803791558,0.23666985167484939,2.6804826284786167,1.5449205550195917,0.5216238579152328,0.765321821246915,0.23260087891918438,3.131522048829355,0.5697768164449747,1.4939850276623974,4.936797047401619,1.7285546800573335,3.2826615057441195,5.782975295688779,2.5255843360863106,0.0,0.36130059281121324,0.7659604257065206
A-242,0.9698428227906746,29.98649018481631,10.496181261392081,3.1710090926394336,5.344394654372679,0.20374500625617495,4.0015532011111405,3.0119062050840095,0.2549565138486131,1.2507007922327076,3.349886148853982,3.6785685073080927,2.1322592064714594,3.4946888927053967,2.7156776450602447,11.614838060114096,0.7660665955386491,0.5469247245155393,1.7389144289469212,0.3763328571447209,1.450227973145641,5.941285366239315,2.596004613107182,3.383068168183859,6.5960629395623025,3.0818111720717645,5.516980719976097,0.32746461046882064,0.3223307000225181
AC,0.4136662316462775,0.08807877933927216,0.5556083574551204,0.4952098151033535,0.5876006996396955,0.9759268071361088,0.332772109362401,0.2931459588933541,0.05647715686788719,0.9806227614326505,0.8450073809138009,0.2993700681222146,0.26281708597031667,0.9460888857843959,0.565105683832937,0.8609352774035983,1.6405454918577154,2.705945867549627,1.1633889147028253,1.6110190959489692,0.7595873040491273,0.25475113296319296,0.3843549615033169,0.4819567932068862,0.1614820571070213,0.4168993812365157,0.0,0.13580583778101032,0.6374563888393047
CG,0.494689801613184,0.2643857125457385,0.16960823271392134,0.6412973819983749,0.2596144052656607,3.998018871171502,0.3678804791294482,1.0818128341703797,2.886855170992391,1.3854045068112633,0.9605152790970068,0.8322029918454683,3.8585723775206944,0.4260183898534665,0.28259722027912976,0.9362671491674884,1.4603014365173441,1.572392383206078,0.5583341842353954,1.8797227636825804,0.33860784594275894,0.12728737838388732,1.1351449798878899,0.3906852537142574,0.07339360104404398,0.6371548274429152,3.54998580279328,4.42879141708368,2.1142323022370153
CK,0.5098358513193195,0.243387290428208,0.27439927777922746,0.4775877063604527,0.26559712421762,0.7993730834546007,0.35498310311728853,0.12707667186618135,0.12341925239457055,1.061688700505494,0.9288069802927662,0.310728144753845,1.7032396743843694,1.6652026285398844,0.0,1.362478634125453,1.4580690543748316,1.5510872729010918,0.9629847965536883,1.709494094863819,0.0,0.771209079146146,0.23641422099744386,1.420245350948458,0.18154605912281924,0.8280819362927734,0.0781785750463514,0.07921157427127365,0.4036152407552434
DMMP,1.1501251734769928,0.2474436867902219,0.21141343613873465,0.23031306385295203,0.0651682792832004,0.2623173344382592,0.1402016508796659,0.15082043142748858,0.15794690308036796,0.264146334158962,0.17653283360812005,0.3722901146366498,0.3533277712765511,0.0,0.26643788697063464,0.0,0.0,0.3495148595534792,0.4558202168161347,0.44367976450122465,0.6994340658815821,0.1259790970502491,0.8614538475109008,0.9255082388971105,0.2905587687709071,1.0570954099512793,0.035454695151291446,0.15003193879146104,0.6257570383296225
GA,1.0294398812566568,0.3236329976592325,0.5671878678563916,0.16086690204048404,0.5682039147867437,0.1279087899274404,0.38761470905993234,0.3844092110938117,1.8346126444889588,0.2741303139487189,0.177392108773459,0.1590698204976404,0.47370579054203965,0.3975490373244879,1.5627147361290188,0.1721068910961036,0.956415019238887,0.6896349412848373,0.45556495101711353,0.8879352697681769,1.4074683860678747,0.2545731848045688,1.5395223899874826,0.0,0.2616121053459892,0.4093565441099824,0.0,0.07587578545795168,0.7100160236542081
GB,0.9989060441665121,0.5043630676223869,0.6782712460871387,0.9339807964751274,0.23718267432573717,0.19709952070008385,0.42426252122087166,0.3289390326385744,0.22271880535543917,0.1988466589227292,0.2572454356156755,1.0806859509408135,0.80067570297848,0.19587604523426436,1.404377200166039,0.0853901956735106,0.0,0.8637801077955264,0.3813854007731193,0.8842161487715045,1.067398810371348,0.12537828908027257,1.422337770495714,0.0,0.17847036816221412,0.6457227531238421,0.035454695151291446,0.08177115440281169,0.6089292445230277
